     1→     1→# WEDJAT BRAIN — Phase 0 Ecosystem Audit (§137)
     2→     2→
     3→     3→> Per spec §186: *"Never claim a platform is integrated when only its repository has been inspected."*
     4→     4→> Per spec §185: *"FIRST do the complete Phase 0 audit"* — this document is that audit.
     5→     5→>
     6→     6→> Method: unauthenticated GitHub REST API (public read-only) + raw.githubusercontent.com for README/package.json (does NOT count against the 60 req/hour API rate limit). No tokens, no cloning, no authentication. All findings below are derived **only** from public metadata.
     7→     7→
     8→     8→---
     9→     9→
    10→    10→## Summary Table
    11→    11→
    12→    12→| # | Platform | Repo (owner/name) | Public? | Primary Lang | Framework | Purpose (from API/README) | AI hints | DB hints | Status |
    13→    13→|---|----------|-------------------|---------|--------------|-----------|---------------------------|----------|----------|--------|
    14→    14→| 1 | CIRKLE-SUPERAPP | `cirkle-superapp/CIRKLE` | public | HTML | Next.js 16 + Prisma + shadcn/ui (New York) | Cirkle superapp hub (description empty; root has MASTER_BLUEPRINT, FINAL_REPORT, INTEGRATION, multiple audit reports) | none in package.json (but `socket.io-client`) | Prisma + libSQL/SQLite | inspectable |
    15→    15→| 2 | CIRKLE-MAIL | `cirkle-superapp/MAIL` | public | TypeScript | Next.js 16 + Prisma + shadcn/ui | Gmail-like email client w/ Cirkle gold/teal brand, snooze, undo-send, drafts, labels | `z-ai-web-dev-sdk` | Prisma (SQLite implied) | inspectable |
    16→    16→| 3 | OLYMPEX | `fortleem/olympex_export` | public | TypeScript | Next.js 16 (App Router, Turbopack) + Prisma + shadcn/ui + react-hook-form/zod | Egyptian fresh/frozen produce exporter corporate site + RFQ pipeline + hardened public API | `z-ai-web-dev-sdk` | Prisma + SQLite | inspectable |
    17→    17→| 4 | MASHAHD | `cirkle-superapp/mashahd` | public | HTML | Next.js 16 + Prisma + shadcn/ui | Video streaming app (multi-service: dev:app / dev:tracker / dev:party); heavy docs (MASTER_BLUEPRINT, ZERO_COST_ARCHITECTURE, MEDIA_FABRIC_CHECKLIST, P2P_NETWORKING) | none in package.json | Prisma + libSQL/SQLite (`@aws-sdk/client-s3`) | inspectable |
    18→    18→| 5 | VERIFY | `cirkle-superapp/verify` | public | TypeScript | Next.js 16 + React 19 + Prisma + shadcn/ui + Tailwind 4 | Arabic-first identity verification: 3-pass OCR, Egyptian National ID decode, MRZ TD1/TD3, live face match (VLM), liveness challenges, eval lab | `z-ai-web-dev-sdk` (VLM), `tesseract.js` | Prisma + libSQL/Turso + Neon serverless + Drizzle | inspectable |
    19→    19→| 6 | WASL | `cirkle-superapp/wasl` | public | HTML | Next.js 16 + Prisma + Socket.io + shadcn/ui | WhatsApp-like real-time chat: business accounts, AI-verified "commits" (hash + fairness check), polls, stories, voice messages | none in package.json | Prisma + libSQL/Turso (Turso production URL in README) | inspectable |
